family_index,graph6,n,m,Delta,delta,regular,tree,families,descriptions
55,KCZ{A?_C?O?_,12,14,6,1,0,0,corona,corona:base_n=6;base_index=25;base_g6=ECZw
56,KCfsA?_C?O?_,12,13,5,1,0,0,corona,corona:base_n=6;base_index=26;base_g6=ECfo
57,KCf{A?_C?O?_,12,14,6,1,0,0,corona,corona:base_n=6;base_index=27;base_g6=ECfw
58,KCpsA?_C?O?_,12,12,4,1,0,0,corona,corona:base_n=6;base_index=28;base_g6=ECpo
59,KCqkA?_C?O?_,12,12,4,1,0,0,corona,corona:base_n=6;base_index=29;base_g6=ECqg
60,KCrcA?_C?O?_,12,12,4,1,0,0,corona,corona:base_n=6;base_index=30;base_g6=ECr_
61,KCrkA?_C?O?_,12,13,5,1,0,0,corona,corona:base_n=6;base_index=31;base_g6=ECrg
62,KCrsA?_C?O?_,12,13,5,1,0,0,corona,corona:base_n=6;base_index=32;base_g6=ECro
63,KCr{A?_C?O?_,12,14,6,1,0,0,corona,corona:base_n=6;base_index=33;base_g6=ECrw
64,KCu{A?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=34;base_g6=ECuw
65,KCvsA?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=35;base_g6=ECvo
66,KCv{A?_C?O?_,12,15,6,1,0,0,corona,corona:base_n=6;base_index=36;base_g6=ECvw
67,KCxsA?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=37;base_g6=ECxo
68,KCx{A?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=38;base_g6=ECxw
69,KCz[A?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=39;base_g6=ECzW
70,KCzkA?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=40;base_g6=ECzg
71,KCzsA?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=41;base_g6=ECzo
72,KCz{A?_C?O?_,12,15,6,1,0,0,corona,corona:base_n=6;base_index=42;base_g6=ECzw
73,KC~sA?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=43;base_g6=EC~o
74,KC~{A?_C?O?_,12,16,6,1,0,0,corona,corona:base_n=6;base_index=44;base_g6=EC~w
75,KEh[A?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=45;base_g6=EEhW
76,KEhcA?_C?O?_,12,12,3,1,0,0,corona,corona:base_n=6;base_index=46;base_g6=EEh_
77,KEhsA?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=47;base_g6=EEho
78,KEh{A?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=48;base_g6=EEhw
79,KEi[A?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=49;base_g6=EEiW
80,KEisA?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=50;base_g6=EEio
81,KEj[A?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=51;base_g6=EEjW
82,KEjcA?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=52;base_g6=EEj_
83,KEjsA?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=53;base_g6=EEjo
84,KEj{A?_C?O?_,12,15,6,1,0,0,corona,corona:base_n=6;base_index=54;base_g6=EEjw
85,KEl{A?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=55;base_g6=EElw
86,KEnsA?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=56;base_g6=EEno
87,KEn{A?_C?O?_,12,16,6,1,0,0,corona,corona:base_n=6;base_index=57;base_g6=EEnw
88,KErcA?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=58;base_g6=EEr_
89,KErsA?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=59;base_g6=EEro
90,KEr{A?_C?O?_,12,15,6,1,0,0,corona,corona:base_n=6;base_index=60;base_g6=EErw
91,KEu{A?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=61;base_g6=EEuw
92,KEvsA?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=62;base_g6=EEvo
93,KEv{A?_C?O?_,12,16,6,1,0,0,corona,corona:base_n=6;base_index=63;base_g6=EEvw
94,KEzSA?_C?O?_,12,14,4,1,0,0,corona,corona:base_n=6;base_index=64;base_g6=EEzO
95,KEzcA?_C?O?_,12,14,4,1,0,0,corona,corona:base_n=6;base_index=65;base_g6=EEz_
96,KEzkA?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=66;base_g6=EEzg
97,KEzsA?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=67;base_g6=EEzo
98,KEz{A?_C?O?_,12,16,6,1,0,0,corona,corona:base_n=6;base_index=68;base_g6=EEzw
99,KE~{A?_C?O?_,12,17,6,1,0,0,corona,corona:base_n=6;base_index=69;base_g6=EE~w
100,KFz[A?_C?O?_,12,16,5,1,0,0,corona,corona:base_n=6;base_index=70;base_g6=EFzW
101,KFzcA?_C?O?_,12,15,4,1,0,0,corona,corona:base_n=6;base_index=71;base_g6=EFz_
102,KFzsA?_C?O?_,12,16,5,1,0,0,corona,corona:base_n=6;base_index=72;base_g6=EFzo
103,KFz{A?_C?O?_,12,17,6,1,0,0,corona,corona:base_n=6;base_index=73;base_g6=EFzw
104,KF~{A?_C?O?_,12,18,6,1,0,0,corona,corona:base_n=6;base_index=74;base_g6=EF~w
105,KQjSA?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=75;base_g6=EQjO
106,KQjcA?_C?O?_,12,13,4,1,0,0,corona,corona:base_n=6;base_index=76;base_g6=EQj_
107,KQjkA?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=77;base_g6=EQjg
108,KQjsA?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=78;base_g6=EQjo
109,KQj{A?_C?O?_,12,15,6,1,0,0,corona,corona:base_n=6;base_index=79;base_g6=EQjw
110,KQy{A?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=80;base_g6=EQyw
111,KQzSA?_C?O?_,12,14,4,1,0,0,corona,corona:base_n=6;base_index=81;base_g6=EQzO
112,KQz[A?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=82;base_g6=EQzW
113,KQzkA?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=83;base_g6=EQzg
114,KQzsA?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=84;base_g6=EQzo
115,KQz{A?_C?O?_,12,16,6,1,0,0,corona,corona:base_n=6;base_index=85;base_g6=EQzw
116,KQ~sA?_C?O?_,12,16,5,1,0,0,corona,corona:base_n=6;base_index=86;base_g6=EQ~o
117,KQ~{A?_C?O?_,12,17,6,1,0,0,corona,corona:base_n=6;base_index=87;base_g6=EQ~w
118,KTnsA?_C?O?_,12,16,5,1,0,0,corona,corona:base_n=6;base_index=88;base_g6=ETno
119,KTn{A?_C?O?_,12,17,6,1,0,0,corona,corona:base_n=6;base_index=89;base_g6=ETnw
120,KTzkA?_C?O?_,12,16,5,1,0,0,corona,corona:base_n=6;base_index=90;base_g6=ETzg
121,KTzsA?_C?O?_,12,16,5,1,0,0,corona,corona:base_n=6;base_index=91;base_g6=ETzo
122,KTz{A?_C?O?_,12,17,6,1,0,0,corona,corona:base_n=6;base_index=92;base_g6=ETzw
123,KT~{A?_C?O?_,12,18,6,1,0,0,corona,corona:base_n=6;base_index=93;base_g6=ET~w
124,KUZSA?_C?O?_,12,14,4,1,0,0,corona,corona:base_n=6;base_index=94;base_g6=EUZO
125,KUZcA?_C?O?_,12,14,4,1,0,0,corona,corona:base_n=6;base_index=95;base_g6=EUZ_
126,KUZsA?_C?O?_,12,15,5,1,0,0,corona,corona:base_n=6;base_index=96;base_g6=EUZo
127,KUZ{A?_C?O?_,12,16,6,1,0,0,corona,corona:base_n=6;base_index=97;base_g6=EUZw
128,KUxsA?_C?O?_,12,15,4,1,0,0,corona,corona:base_n=6;base_index=98;base_g6=EUxo
129,KUz[A?_C?O?_,12,16,5,1,0,0,corona,corona:base_n=6;base_index=99;base_g6=EUzW
130,KUzsA?_C?O?_,12,16,5,1,0,0,corona,corona:base_n=6;base_index=100;base_g6=EUzo
131,KUz{A?_C?O?_,12,17,6,1,0,0,corona,corona:base_n=6;base_index=101;base_g6=EUzw
132,KU~{A?_C?O?_,12,18,6,1,0,0,corona,corona:base_n=6;base_index=102;base_g6=EU~w
133,KV~{A?_C?O?_,12,19,6,1,0,0,corona,corona:base_n=6;base_index=103;base_g6=EV~w
134,K]y{A?_C?O?_,12,17,5,1,0,0,corona,corona:base_n=6;base_index=104;base_g6=E]yw
135,K]zkA?_C?O?_,12,17,5,1,0,0,corona,corona:base_n=6;base_index=105;base_g6=E]zg
136,K]zsA?_C?O?_,12,17,5,1,0,0,corona,corona:base_n=6;base_index=106;base_g6=E]zo
137,K]z{A?_C?O?_,12,18,6,1,0,0,corona,corona:base_n=6;base_index=107;base_g6=E]zw
138,K]~sA?_C?O?_,12,18,5,1,0,0,corona,corona:base_n=6;base_index=108;base_g6=E]~o
139,K]~{A?_C?O?_,12,19,6,1,0,0,corona,corona:base_n=6;base_index=109;base_g6=E]~w
140,K^~{A?_C?O?_,12,20,6,1,0,0,corona,corona:base_n=6;base_index=110;base_g6=E^~w
141,K~~{A?_C?O?_,12,21,6,1,0,0,corona,corona:base_n=6;base_index=111;base_g6=E~~w
142,Cs,4,3,3,1,0,1,caterpillar;complete_multipartite;spider,spider:arms=1.1.1 | complete_multipartite:parts=1.3 | caterpillar:spine=2;leaves=0.2 | caterpillar:spine=2;leaves=2.0 | caterpillar:spine=3;leaves=0.1.0
143,Ds_,5,4,4,1,0,1,caterpillar;complete_multipartite;spider,spider:arms=1.1.1.1 | complete_multipartite:parts=1.4 | caterpillar:spine=2;leaves=0.3 | caterpillar:spine=2;leaves=3.0 | caterpillar:spine=3;leaves=0.2.0
144,DsC,5,4,3,1,0,1,caterpillar;spider,spider:arms=1.1.2 | caterpillar:spine=2;leaves=1.2 | caterpillar:spine=2;leaves=2.1 | caterpillar:spine=3;leaves=0.0.2 | caterpillar:spine=3;leaves=0.1.1 | caterpillar:spine=3;leaves=1.1.0 | caterpillar:spine=3;leaves=2.0.0 | caterpillar:spine=4;leaves=0.0.1.0 | caterpillar:spine=4;leaves=0.1.0.0
145,Esa?,6,5,5,1,0,1,caterpillar;complete_multipartite;spider,spider:arms=1.1.1.1.1 | complete_multipartite:parts=1.5 | caterpillar:spine=2;leaves=0.4 | caterpillar:spine=2;leaves=4.0 | caterpillar:spine=3;leaves=0.3.0
146,Es_G,6,5,4,1,0,1,caterpillar;spider,spider:arms=1.1.1.2 | caterpillar:spine=2;leaves=1.3 | caterpillar:spine=2;leaves=3.1 | caterpillar:spine=3;leaves=0.0.3 | caterpillar:spine=3;leaves=0.2.1 | caterpillar:spine=3;leaves=1.2.0 | caterpillar:spine=3;leaves=3.0.0 | caterpillar:spine=4;leaves=0.0.2.0 | caterpillar:spine=4;leaves=0.2.0.0
147,EsCG,6,5,3,1,0,1,caterpillar;spider,spider:arms=1.1.3 | caterpillar:spine=3;leaves=1.0.2 | caterpillar:spine=3;leaves=2.0.1 | caterpillar:spine=4;leaves=0.0.0.2 | caterpillar:spine=4;leaves=0.1.0.1 | caterpillar:spine=4;leaves=1.0.1.0 | caterpillar:spine=4;leaves=2.0.0.0 | caterpillar:spine=5;leaves=0.0.0.1.0 | caterpillar:spine=5;leaves=0.1.0.0.0
148,FsaC?,7,6,6,1,0,1,caterpillar;complete_multipartite;spider,spider:arms=1.1.1.1.1.1 | complete_multipartite:parts=1.6 | caterpillar:spine=2;leaves=0.5 | caterpillar:spine=2;leaves=5.0 | caterpillar:spine=3;leaves=0.4.0
149,Fsa?G,7,6,5,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.2 | caterpillar:spine=2;leaves=1.4 | caterpillar:spine=2;leaves=4.1 | caterpillar:spine=3;leaves=0.0.4 | caterpillar:spine=3;leaves=0.3.1 | caterpillar:spine=3;leaves=1.3.0 | caterpillar:spine=3;leaves=4.0.0 | caterpillar:spine=4;leaves=0.0.3.0 | caterpillar:spine=4;leaves=0.3.0.0
150,Fs_GG,7,6,4,1,0,1,caterpillar;spider,spider:arms=1.1.1.3 | caterpillar:spine=3;leaves=1.0.3 | caterpillar:spine=3;leaves=3.0.1 | caterpillar:spine=4;leaves=0.0.0.3 | caterpillar:spine=4;leaves=0.2.0.1 | caterpillar:spine=4;leaves=1.0.2.0 | caterpillar:spine=4;leaves=3.0.0.0 | caterpillar:spine=5;leaves=0.0.0.2.0 | caterpillar:spine=5;leaves=0.2.0.0.0
151,FsE?G,7,6,4,1,0,1,caterpillar;spider,spider:arms=1.1.2.2 | caterpillar:spine=3;leaves=1.2.1 | caterpillar:spine=4;leaves=0.0.2.1 | caterpillar:spine=4;leaves=1.2.0.0 | caterpillar:spine=5;leaves=0.0.2.0.0
152,FsCGG,7,6,3,1,0,1,caterpillar;spider,spider:arms=1.1.4 | caterpillar:spine=4;leaves=1.0.0.2 | caterpillar:spine=4;leaves=2.0.0.1 | caterpillar:spine=5;leaves=0.0.0.0.2 | caterpillar:spine=5;leaves=0.1.0.0.1 | caterpillar:spine=5;leaves=1.0.0.1.0 | caterpillar:spine=5;leaves=2.0.0.0.0 | caterpillar:spine=6;leaves=0.0.0.0.1.0 | caterpillar:spine=6;leaves=0.1.0.0.0.0
153,Fp_GG,7,6,3,1,0,1,caterpillar;spider,spider:arms=1.2.3 | caterpillar:spine=4;leaves=1.0.1.1 | caterpillar:spine=4;leaves=1.1.0.1 | caterpillar:spine=5;leaves=0.0.0.1.1 | caterpillar:spine=5;leaves=0.0.1.0.1 | caterpillar:spine=5;leaves=1.0.1.0.0 | caterpillar:spine=5;leaves=1.1.0.0.0 | caterpillar:spine=6;leaves=0.0.0.1.0.0 | caterpillar:spine=6;leaves=0.0.1.0.0.0
154,FkE?G,7,6,3,1,0,1,spider,spider:arms=2.2.2
155,GsaCC?,8,7,7,1,0,1,caterpillar;complete_multipartite;spider,spider:arms=1.1.1.1.1.1.1 | complete_multipartite:parts=1.7 | caterpillar:spine=2;leaves=0.6 | caterpillar:spine=2;leaves=6.0 | caterpillar:spine=3;leaves=0.5.0
156,GsaC?C,8,7,6,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.2 | caterpillar:spine=2;leaves=1.5 | caterpillar:spine=2;leaves=5.1 | caterpillar:spine=3;leaves=0.0.5 | caterpillar:spine=3;leaves=0.4.1 | caterpillar:spine=3;leaves=1.4.0 | caterpillar:spine=4;leaves=0.0.4.0 | caterpillar:spine=4;leaves=0.4.0.0
157,Gsa?GC,8,7,5,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.3 | caterpillar:spine=3;leaves=1.0.4 | caterpillar:spine=4;leaves=0.0.0.4 | caterpillar:spine=4;leaves=0.3.0.1 | caterpillar:spine=3;leaves=4.0.1 | caterpillar:spine=5;leaves=0.3.0.0.0
158,Gs_K?C,8,7,5,1,0,1,caterpillar;spider,spider:arms=1.1.1.2.2 | caterpillar:spine=3;leaves=1.3.1
159,Gs_GGC,8,7,4,1,0,1,caterpillar;spider,spider:arms=1.1.1.4 | caterpillar:spine=4;leaves=1.0.0.3 | caterpillar:spine=5;leaves=3.0.0.0.0 | caterpillar:spine=6;leaves=0.2.0.0.0.0 | caterpillar:spine=5;leaves=0.2.0.0.1 | caterpillar:spine=6;leaves=0.0.0.0.2.0 | caterpillar:spine=5;leaves=1.0.0.2.0
160,GsE?GC,8,7,4,1,0,1,caterpillar;spider,spider:arms=1.1.2.3 | caterpillar:spine=4;leaves=1.0.2.1 | caterpillar:spine=4;leaves=1.2.0.1 | caterpillar:spine=5;leaves=1.0.2.0.0
161,GsCGGC,8,7,3,1,0,1,caterpillar;spider,spider:arms=1.1.5 | caterpillar:spine=7;leaves=0.1.0.0.0.0.0 | caterpillar:spine=6;leaves=2.0.0.0.0.0 | caterpillar:spine=7;leaves=0.0.0.0.0.1.0 | caterpillar:spine=6;leaves=0.1.0.0.0.1
162,Gp_GGC,8,7,3,1,0,1,caterpillar;spider,spider:arms=1.2.4 | caterpillar:spine=5;leaves=1.1.0.0.1 | caterpillar:spine=6;leaves=0.0.1.0.0.1 | caterpillar:spine=6;leaves=1.1.0.0.0.0 | caterpillar:spine=6;leaves=0.0.0.0.1.1 | caterpillar:spine=7;leaves=0.0.1.0.0.0.0
163,GpE?GC,8,7,3,1,0,1,caterpillar;spider,spider:arms=1.3.3 | caterpillar:spine=7;leaves=0.0.0.1.0.0.0 | caterpillar:spine=6;leaves=1.0.1.0.0.0
164,GkE?GC,8,7,3,1,0,1,spider,spider:arms=2.2.3
165,HsaCCA?,9,8,8,1,0,1,caterpillar;complete_multipartite;spider,spider:arms=1.1.1.1.1.1.1.1 | complete_multipartite:parts=1.8 | caterpillar:spine=2;leaves=0.7 | caterpillar:spine=2;leaves=7.0 | caterpillar:spine=3;leaves=0.6.0
166,HsaCC?@,9,8,7,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.1.2 | caterpillar:spine=2;leaves=1.6 | caterpillar:spine=2;leaves=6.1 | caterpillar:spine=3;leaves=0.0.6 | caterpillar:spine=3;leaves=0.5.1
167,HsaC?C@,9,8,6,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.3 | caterpillar:spine=3;leaves=1.0.5 | caterpillar:spine=4;leaves=0.4.0.1 | caterpillar:spine=5;leaves=0.4.0.0.0
168,Hsa?K?@,9,8,6,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.2.2 | caterpillar:spine=3;leaves=1.4.1
169,Hsa?GC@,9,8,5,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.4 | caterpillar:spine=4;leaves=4.0.0.1 | caterpillar:spine=6;leaves=0.3.0.0.0.0 | caterpillar:spine=5;leaves=0.0.0.0.4
170,Hs_K?C@,9,8,5,1,0,1,caterpillar;spider,spider:arms=1.1.1.2.3 | caterpillar:spine=5;leaves=0.0.3.0.1 | caterpillar:spine=6;leaves=0.0.3.0.0.0 | caterpillar:spine=4;leaves=1.3.0.1
171,Hs_GGC@,9,8,4,1,0,1,spider,spider:arms=1.1.1.5
172,HsE?K?@,9,8,5,1,0,1,spider,spider:arms=1.1.2.2.2
173,HsE?GC@,9,8,4,1,0,1,caterpillar;spider,spider:arms=1.1.2.4 | caterpillar:spine=7;leaves=0.0.0.0.2.0.0 | caterpillar:spine=5;leaves=1.2.0.0.1 | caterpillar:spine=7;leaves=0.0.2.0.0.0.0
174,HsCK?C@,9,8,4,1,0,1,caterpillar;spider,spider:arms=1.1.3.3 | caterpillar:spine=7;leaves=0.0.0.2.0.0.0
175,HsCGGC@,9,8,3,1,0,1,caterpillar;spider,spider:arms=1.1.6 | caterpillar:spine=8;leaves=0.1.0.0.0.0.0.0 | caterpillar:spine=7;leaves=0.1.0.0.0.0.1
176,Hp_K?C@,9,8,4,1,0,1,spider,spider:arms=1.2.2.3
177,Hp_GGC@,9,8,3,1,0,1,caterpillar;spider,spider:arms=1.2.5 | caterpillar:spine=8;leaves=0.0.1.0.0.0.0.0 | caterpillar:spine=8;leaves=0.0.0.0.0.1.0.0
178,HpE?GC@,9,8,3,1,0,1,caterpillar;spider,spider:arms=1.3.4 | caterpillar:spine=6;leaves=1.0.1.0.0.1 | caterpillar:spine=7;leaves=0.0.0.1.0.0.1
179,HkE?K?@,9,8,4,1,0,1,spider,spider:arms=2.2.2.2
180,HkE?GC@,9,8,3,1,0,1,spider,spider:arms=2.2.4
181,HkCK?C@,9,8,3,1,0,1,spider,spider:arms=2.3.3
182,IsaCCA?_?,10,9,9,1,0,1,caterpillar;complete_multipartite;spider,spider:arms=1.1.1.1.1.1.1.1.1 | complete_multipartite:parts=1.9 | caterpillar:spine=2;leaves=0.8 | caterpillar:spine=2;leaves=8.0 | caterpillar:spine=3;leaves=0.7.0
183,IsaCCA??G,10,9,8,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.1.1.2 | caterpillar:spine=2;leaves=1.7 | caterpillar:spine=2;leaves=7.1 | caterpillar:spine=3;leaves=0.0.7 | caterpillar:spine=3;leaves=0.6.1 | caterpillar:spine=3;leaves=1.6.0
184,IsaCC?@?G,10,9,7,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.1.3 | caterpillar:spine=3;leaves=1.0.6
185,IsaC?E??G,10,9,7,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.2.2 | caterpillar:spine=3;leaves=1.5.1
186,IsaC?C@?G,10,9,6,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.4 | caterpillar:spine=5;leaves=5.0.0.0.0 | caterpillar:spine=5;leaves=0.0.0.0.5
187,Isa?K?@?G,10,9,6,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.2.3 | caterpillar:spine=4;leaves=1.4.0.1
188,Isa?GC@?G,10,9,5,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.5 | caterpillar:spine=6;leaves=0.0.0.0.0.4 | caterpillar:spine=7;leaves=0.0.0.0.0.3.0
