graph6,n,m,mismatches,certificate_failures,all_values_agree,all_stored_certificates_valid
EUzw,6,11,,,True,True
EU~w,6,12,,,True,True
EV~w,6,13,,,True,True
E]yw,6,11,,,True,True
E]zg,6,11,,,True,True
E]zo,6,11,,,True,True
E]zw,6,12,,,True,True
E]~o,6,12,,,True,True
E]~w,6,13,,,True,True
E^~w,6,14,,,True,True
E~~w,6,15,,,True,True
F??Fw,7,6,,,True,True
F?AFo,7,6,,,True,True
F?AFw,7,7,,,True,True
F?B@w,7,6,,,True,True
F?BDo,7,6,,,True,True
F?BDw,7,7,,,True,True
F?BFo,7,7,,,True,True
F?BFw,7,8,,,True,True
F?Bco,7,6,,,True,True
F?Bcw,7,7,,,True,True
F?Beo,7,7,,,True,True
F?Bew,7,8,,,True,True
F?Bfo,7,8,,,True,True
F?Bfw,7,9,,,True,True
F?BvO,7,8,,,True,True
F?BvW,7,9,,,True,True
F?Bvo,7,9,,,True,True
F?Bvw,7,10,,,True,True
F?B~o,7,10,,,True,True
F?B~w,7,11,,,True,True
F?`F_,7,6,,,True,True
F?`Fo,7,7,,,True,True
F?`Fw,7,8,,,True,True
F?`cg,7,6,,,True,True
F?`cw,7,7,,,True,True
F?`e_,7,6,,,True,True
F?`eg,7,7,,,True,True
F?`eo,7,7,,,True,True
F?`ew,7,8,,,True,True
F?`f_,7,7,,,True,True
F?`fg,7,8,,,True,True
F?`fo,7,8,,,True,True
F?`fw,7,9,,,True,True
F?`uO,7,7,,,True,True
F?`uW,7,8,,,True,True
F?`v?,7,7,,,True,True
F?`vG,7,8,,,True,True
F?`vO,7,8,,,True,True
F?`vW,7,9,,,True,True
F?`v_,7,8,,,True,True
F?`vg,7,9,,,True,True
F?`vo,7,9,,,True,True
F?`vw,7,10,,,True,True
F?aN_,7,7,,,True,True
F?aNo,7,8,,,True,True
F?aNw,7,9,,,True,True
F?bB_,7,6,,,True,True
F?bBo,7,7,,,True,True
F?bDg,7,7,,,True,True
F?bDo,7,7,,,True,True
F?bF_,7,7,,,True,True
F?bFg,7,8,,,True,True
F?bFo,7,8,,,True,True
F?bFw,7,9,,,True,True
F?bLo,7,8,,,True,True
F?bLw,7,9,,,True,True
F?bN_,7,8,,,True,True
F?bNg,7,9,,,True,True
F?bNo,7,9,,,True,True
F?bNw,7,10,,,True,True
F?bao,7,7,,,True,True
F?baw,7,8,,,True,True
F?bbo,7,8,,,True,True
F?bbw,7,9,,,True,True
F?bcw,7,8,,,True,True
F?beg,7,8,,,True,True
F?beo,7,8,,,True,True
F?bew,7,9,,,True,True
F?bf_,7,8,,,True,True
F?bfg,7,9,,,True,True
F?bfo,7,9,,,True,True
F?bfw,7,10,,,True,True
F?bmo,7,9,,,True,True
F?bmw,7,10,,,True,True
F?bno,7,10,,,True,True
F?bnw,7,11,,,True,True
F?bro,7,9,,,True,True
F?brw,7,10,,,True,True
F?bvO,7,9,,,True,True
F?bvW,7,10,,,True,True
F?bv_,7,9,,,True,True
F?bvg,7,10,,,True,True
F?bvo,7,10,,,True,True
F?bvw,7,11,,,True,True
F?b~o,7,11,,,True,True
F?b~w,7,12,,,True,True
F?opo,7,7,,,True,True
F?osW,7,7,,,True,True
F?otO,7,7,,,True,True
F?otW,7,8,,,True,True
F?oto,7,8,,,True,True
F?ouW,7,8,,,True,True
F?ov?,7,7,,,True,True
F?ovO,7,8,,,True,True
F?ovW,7,9,,,True,True
F?ov_,7,8,,,True,True
F?ovo,7,9,,,True,True
F?ovw,7,10,,,True,True
F?o|W,7,9,,,True,True
F?o|o,7,9,,,True,True
F?o}W,7,9,,,True,True
F?o~O,7,9,,,True,True
F?o~W,7,10,,,True,True
F?o~_,7,9,,,True,True
F?o~o,7,10,,,True,True
F?o~w,7,11,,,True,True
F?q_w,7,7,,,True,True
F?q`o,7,7,,,True,True
F?qaw,7,8,,,True,True
F?qb_,7,7,,,True,True
F?qbo,7,8,,,True,True
F?qbw,7,9,,,True,True
F?qcw,7,8,,,True,True
F?qdo,7,8,,,True,True
F?qeo,7,8,,,True,True
F?qew,7,9,,,True,True
F?qf_,7,8,,,True,True
F?qfo,7,9,,,True,True
F?qfw,7,10,,,True,True
F?qjo,7,9,,,True,True
F?qjw,7,10,,,True,True
F?qkw,7,9,,,True,True
F?qlo,7,9,,,True,True
F?qmo,7,9,,,True,True
F?qmw,7,10,,,True,True
F?qn_,7,9,,,True,True
F?qno,7,10,,,True,True
F?qnw,7,11,,,True,True
F?qpo,7,8,,,True,True
F?qrO,7,8,,,True,True
F?qr_,7,8,,,True,True
F?qrg,7,9,,,True,True
F?qro,7,9,,,True,True
F?qrw,7,10,,,True,True
F?qtg,7,9,,,True,True
F?qto,7,9,,,True,True
F?qtw,7,10,,,True,True
F?quW,7,9,,,True,True
F?qvG,7,9,,,True,True
F?qvO,7,9,,,True,True
F?qvW,7,10,,,True,True
F?qv_,7,9,,,True,True
F?qvg,7,10,,,True,True
F?qvo,7,10,,,True,True
F?qvw,7,11,,,True,True
F?qzw,7,11,,,True,True
F?q|w,7,11,,,True,True
F?q~W,7,11,,,True,True
F?q~_,7,10,,,True,True
F?q~g,7,11,,,True,True
F?q~o,7,11,,,True,True
F?q~w,7,12,,,True,True
F?rDo,7,8,,,True,True
F?rF_,7,8,,,True,True
F?rFo,7,9,,,True,True
F?rFw,7,10,,,True,True
F?rLw,7,10,,,True,True
F?rN_,7,9,,,True,True
F?rNo,7,10,,,True,True
F?rNw,7,11,,,True,True
F?rdo,7,9,,,True,True
F?rdw,7,10,,,True,True
F?re_,7,8,,,True,True
F?reg,7,9,,,True,True
F?reo,7,9,,,True,True
F?rew,7,10,,,True,True
F?rf_,7,9,,,True,True
F?rfg,7,10,,,True,True
F?rfo,7,10,,,True,True
F?rfw,7,11,,,True,True
F?rmw,7,11,,,True,True
F?rn_,7,10,,,True,True
F?rng,7,11,,,True,True
F?rno,7,11,,,True,True
F?rnw,7,12,,,True,True
F?rv_,7,10,,,True,True
F?rvg,7,11,,,True,True
F?rvo,7,11,,,True,True
F?rvw,7,12,,,True,True
F?r~o,7,12,,,True,True
F?r~w,7,13,,,True,True
F?zPw,7,10,,,True,True
F?zTW,7,10,,,True,True
F?zTo,7,10,,,True,True
F?zTw,7,11,,,True,True
F?zUW,7,10,,,True,True
F?zUo,7,10,,,True,True
F?zVO,7,10,,,True,True
F?zVW,7,11,,,True,True
F?zV_,7,10,,,True,True
F?zVo,7,11,,,True,True
F?zVw,7,12,,,True,True
F?z\w,7,12,,,True,True
F?z^o,7,12,,,True,True
F?z^w,7,13,,,True,True
F?zcw,7,10,,,True,True
F?zew,7,11,,,True,True
F?zf_,7,10,,,True,True
F?zfo,7,11,,,True,True
F?zfw,7,12,,,True,True
F?zmw,7,12,,,True,True
F?zno,7,12,,,True,True
F?znw,7,13,,,True,True
F?zuo,7,11,,,True,True
F?zvO,7,11,,,True,True
F?zv_,7,11,,,True,True
F?zvg,7,12,,,True,True
F?zvo,7,12,,,True,True
F?zvw,7,13,,,True,True
F?z~w,7,14,,,True,True
F?~vW,7,13,,,True,True
F?~v_,7,12,,,True,True
F?~vo,7,13,,,True,True
F?~vw,7,14,,,True,True
F?~~w,7,15,,,True,True
FCOf?,7,6,,,True,True
FCOf_,7,7,,,True,True
FCOfo,7,8,,,True,True
FCOfw,7,9,,,True,True
FCQVO,7,8,,,True,True
FCQV_,7,8,,,True,True
FCQVg,7,9,,,True,True
FCQVo,7,9,,,True,True
FCQVw,7,10,,,True,True
FCQb?,7,6,,,True,True
FCQbO,7,7,,,True,True
FCQb_,7,7,,,True,True
FCQbo,7,8,,,True,True
FCQeG,7,7,,,True,True
FCQeO,7,7,,,True,True
FCQeW,7,8,,,True,True
FCQe_,7,7,,,True,True
FCQeo,7,8,,,True,True
FCQf?,7,7,,,True,True
FCQfG,7,8,,,True,True
FCQfO,7,8,,,True,True
FCQfW,7,9,,,True,True
FCQf_,7,8,,,True,True
FCQfg,7,9,,,True,True
FCQfo,7,9,,,True,True
FCQfw,7,10,,,True,True
FCQrO,7,8,,,True,True
FCQrW,7,9,,,True,True
FCQuW,7,9,,,True,True
FCQug,7,9,,,True,True
FCQuo,7,9,,,True,True
FCQuw,7,10,,,True,True
FCQvO,7,9,,,True,True
FCQvW,7,10,,,True,True
FCQv_,7,9,,,True,True
FCQvg,7,10,,,True,True
FCQvo,7,10,,,True,True
FCQvw,7,11,,,True,True
FCRTo,7,9,,,True,True
FCRTw,7,10,,,True,True
FCRV?,7,8,,,True,True
FCRVO,7,9,,,True,True
FCRVW,7,10,,,True,True
FCRV_,7,9,,,True,True
FCRVg,7,10,,,True,True
FCRVo,7,10,,,True,True
FCRVw,7,11,,,True,True
FCR^o,7,11,,,True,True
FCR^w,7,12,,,True,True
FCR`o,7,8,,,True,True
FCR`w,7,9,,,True,True
FCRbg,7,9,,,True,True
FCRcw,7,9,,,True,True
FCRdg,7,9,,,True,True
FCRdo,7,9,,,True,True
FCRdw,7,10,,,True,True
FCReg,7,9,,,True,True
FCReo,7,9,,,True,True
FCRew,7,10,,,True,True
FCRfG,7,9,,,True,True
FCRf_,7,9,,,True,True
FCRfg,7,10,,,True,True
FCRfo,7,10,,,True,True
FCRfw,7,11,,,True,True
FCRto,7,10,,,True,True
FCRtw,7,11,,,True,True
FCRuo,7,10,,,True,True
FCRuw,7,11,,,True,True
FCRvO,7,10,,,True,True
FCRvW,7,11,,,True,True
FCRv_,7,10,,,True,True
FCRvg,7,11,,,True,True
FCRvo,7,11,,,True,True
FCRvw,7,12,,,True,True
FCR~o,7,12,,,True,True
FCR~w,7,13,,,True,True
FCXe_,7,8,,,True,True
FCXeo,7,9,,,True,True
FCXf?,7,8,,,True,True
FCXfO,7,9,,,True,True
FCXfW,7,10,,,True,True
FCXf_,7,9,,,True,True
FCXfo,7,10,,,True,True
FCXfw,7,11,,,True,True
FCXkw,7,10,,,True,True
FCXmW,7,10,,,True,True
FCXmo,7,10,,,True,True
FCXmw,7,11,,,True,True
FCXnO,7,10,,,True,True
FCXnW,7,11,,,True,True
FCXn_,7,10,,,True,True
FCXno,7,11,,,True,True
FCXnw,7,12,,,True,True
FCY[w,7,10,,,True,True
FCY]g,7,10,,,True,True
FCY]o,7,10,,,True,True
FCY]w,7,11,,,True,True
FCY^G,7,10,,,True,True
FCY^O,7,10,,,True,True
FCY^W,7,11,,,True,True
FCY^_,7,10,,,True,True
FCY^g,7,11,,,True,True
FCY^o,7,11,,,True,True
FCY^w,7,12,,,True,True
FCZHw,7,10,,,True,True
FCZIw,7,10,,,True,True
FCZJg,7,10,,,True,True
FCZJo,7,10,,,True,True
FCZJw,7,11,,,True,True
FCZKw,7,10,,,True,True
FCZLW,7,10,,,True,True
FCZLg,7,10,,,True,True
FCZLo,7,10,,,True,True
FCZLw,7,11,,,True,True
FCZMW,7,10,,,True,True
FCZMg,7,10,,,True,True
FCZMo,7,10,,,True,True
FCZMw,7,11,,,True,True
FCZNG,7,10,,,True,True
FCZNW,7,11,,,True,True
FCZN_,7,10,,,True,True
FCZNg,7,11,,,True,True
FCZNo,7,11,,,True,True
FCZNw,7,12,,,True,True
FCZSo,7,9,,,True,True
FCZTO,7,9,,,True,True
FCZTg,7,10,,,True,True
FCZTo,7,10,,,True,True
FCZTw,7,11,,,True,True
FCZUO,7,9,,,True,True
FCZUg,7,10,,,True,True
FCZUo,7,10,,,True,True
FCZUw,7,11,,,True,True
FCZV?,7,9,,,True,True
FCZVO,7,10,,,True,True
FCZVW,7,11,,,True,True
FCZV_,7,10,,,True,True
FCZVg,7,11,,,True,True
FCZVo,7,11,,,True,True
FCZVw,7,12,,,True,True
FCZ\w,7,12,,,True,True
FCZ]w,7,12,,,True,True
FCZ^_,7,11,,,True,True
FCZ^g,7,12,,,True,True
FCZ^o,7,12,,,True,True
FCZ^w,7,13,,,True,True
FCZbO,7,9,,,True,True
FCZb_,7,9,,,True,True
FCZbg,7,10,,,True,True
FCZbo,7,10,,,True,True
FCZbw,7,11,,,True,True
FCZco,7,9,,,True,True
FCZeO,7,9,,,True,True
FCZeg,7,10,,,True,True
FCZeo,7,10,,,True,True
FCZew,7,11,,,True,True
FCZf?,7,9,,,True,True
FCZfG,7,10,,,True,True
FCZfO,7,10,,,True,True
FCZfW,7,11,,,True,True
FCZf_,7,10,,,True,True
FCZfg,7,11,,,True,True
FCZfo,7,11,,,True,True
FCZfw,7,12,,,True,True
FCZjw,7,12,,,True,True
FCZmw,7,12,,,True,True
FCZnW,7,12,,,True,True
FCZn_,7,11,,,True,True
FCZng,7,12,,,True,True
FCZno,7,12,,,True,True
FCZnw,7,13,,,True,True
FCZv_,7,11,,,True,True
FCZvg,7,12,,,True,True
FCZvo,7,12,,,True,True
FCZvw,7,13,,,True,True
FCZ~o,7,13,,,True,True
FCZ~w,7,14,,,True,True
FCdcg,7,8,,,True,True
FCdcw,7,9,,,True,True
FCdeG,7,8,,,True,True
FCde_,7,8,,,True,True
FCdeg,7,9,,,True,True
FCdeo,7,9,,,True,True
FCdew,7,10,,,True,True
FCdfG,7,9,,,True,True
FCdf_,7,9,,,True,True
FCdfg,7,10,,,True,True
FCdfo,7,10,,,True,True
FCdfw,7,11,,,True,True
FCe^o,7,11,,,True,True
FCe^w,7,12,,,True,True
FCf\w,7,12,,,True,True
FCf^o,7,12,,,True,True
FCf^w,7,13,,,True,True
FCfuw,7,12,,,True,True
FCfvW,7,12,,,True,True
FCfvg,7,12,,,True,True
FCfvo,7,12,,,True,True
FCfvw,7,13,,,True,True
FCf~o,7,13,,,True,True
FCf~w,7,14,,,True,True
FCpV?,7,8,,,True,True
FCpVO,7,9,,,True,True
FCpV_,7,9,,,True,True
FCpVo,7,10,,,True,True
FCpVw,7,11,,,True,True
FCp`_,7,7,,,True,True
FCpbO,7,8,,,True,True
FCpb_,7,8,,,True,True
FCpbo,7,9,,,True,True
FCpdG,7,8,,,True,True
FCpdO,7,8,,,True,True
FCpd_,7,8,,,True,True
FCpdg,7,9,,,True,True
FCpdo,7,9,,,True,True
FCpeG,7,8,,,True,True
FCpeO,7,8,,,True,True
FCpeW,7,9,,,True,True
FCpe_,7,8,,,True,True
FCpeg,7,9,,,True,True
FCpeo,7,9,,,True,True
FCpf?,7,8,,,True,True
FCpfG,7,9,,,True,True
FCpfO,7,9,,,True,True
FCpfW,7,10,,,True,True
FCpf_,7,9,,,True,True
FCpfg,7,10,,,True,True
FCpfo,7,10,,,True,True
FCpfw,7,11,,,True,True
FCprg,7,10,,,True,True
FCptO,7,9,,,True,True
FCpug,7,10,,,True,True
FCpuo,7,10,,,True,True
FCpuw,7,11,,,True,True
FCpv?,7,9,,,True,True
FCpvO,7,10,,,True,True
FCpvW,7,11,,,True,True
FCpv_,7,10,,,True,True
FCpvg,7,11,,,True,True
FCpvo,7,11,,,True,True
FCpvw,7,12,,,True,True
FCqnW,7,11,,,True,True
FCqn_,7,10,,,True,True
FCqno,7,11,,,True,True
FCqnw,7,12,,,True,True
FCrHw,7,10,,,True,True
FCrJo,7,10,,,True,True
FCrJw,7,11,,,True,True
FCrLW,7,10,,,True,True
FCrLw,7,11,,,True,True
FCrNW,7,11,,,True,True
FCrNo,7,11,,,True,True
FCrNw,7,12,,,True,True
FCrRo,7,10,,,True,True
FCrVG,7,10,,,True,True
FCrVW,7,11,,,True,True
FCrVg,7,11,,,True,True
FCrVo,7,11,,,True,True
FCrVw,7,12,,,True,True
FCr^o,7,12,,,True,True
FCr^w,7,13,,,True,True
FCrbo,7,10,,,True,True
FCrdo,7,10,,,True,True
FCreW,7,10,,,True,True
FCreo,7,10,,,True,True
FCrfO,7,10,,,True,True
FCrfW,7,11,,,True,True
FCrf_,7,10,,,True,True
FCrfg,7,11,,,True,True
FCrfo,7,11,,,True,True
FCrfw,7,12,,,True,True
FCrjw,7,12,,,True,True
FCrlw,7,12,,,True,True
FCrmw,7,12,,,True,True
FCrnW,7,12,,,True,True
FCrng,7,12,,,True,True
FCrno,7,12,,,True,True
FCrnw,7,13,,,True,True
FCrro,7,11,,,True,True
FCrrw,7,12,,,True,True
FCruw,7,12,,,True,True
FCrvg,7,12,,,True,True
FCrvo,7,12,,,True,True
FCrvw,7,13,,,True,True
FCr~o,7,13,,,True,True
FCr~w,7,14,,,True,True
FCurW,7,11,,,True,True
FCusw,7,11,,,True,True
FCuto,7,11,,,True,True
FCuuW,7,11,,,True,True
FCuuw,7,12,,,True,True
FCuvW,7,12,,,True,True
FCuvo,7,12,,,True,True
FCuvw,7,13,,,True,True
FCu~w,7,14,,,True,True
FCvRW,7,11,,,True,True
FCvTw,7,12,,,True,True
FCvVW,7,12,,,True,True
FCvVo,7,12,,,True,True
FCvVw,7,13,,,True,True
FCv\w,7,13,,,True,True
FCv^o,7,13,,,True,True
FCv^w,7,14,,,True,True
FCv`w,7,11,,,True,True
FCvaw,7,11,,,True,True
FCvbW,7,11,,,True,True
FCvbg,7,11,,,True,True
FCvbo,7,11,,,True,True
FCvbw,7,12,,,True,True
FCvcw,7,11,,,True,True
FCvdW,7,11,,,True,True
FCvdg,7,11,,,True,True
FCvdo,7,11,,,True,True
FCvdw,7,12,,,True,True
FCveg,7,11,,,True,True
FCveo,7,11,,,True,True
FCvew,7,12,,,True,True
FCvfG,7,11,,,True,True
FCvfO,7,11,,,True,True
FCvfW,7,12,,,True,True
FCvfg,7,12,,,True,True
FCvfo,7,12,,,True,True
FCvfw,7,13,,,True,True
FCvtw,7,13,,,True,True
FCvvg,7,13,,,True,True
FCvvo,7,13,,,True,True
FCvvw,7,14,,,True,True
FCv~w,7,15,,,True,True
FCxrW,7,11,,,True,True
FCxsw,7,11,,,True,True
FCxuW,7,11,,,True,True
FCxuw,7,12,,,True,True
FCxv?,7,10,,,True,True
FCxvO,7,11,,,True,True
FCxvW,7,12,,,True,True
FCxv_,7,11,,,True,True
FCxvo,7,12,,,True,True
FCxvw,7,13,,,True,True
FCx}w,7,13,,,True,True
FCx~w,7,14,,,True,True
FCz\w,7,13,,,True,True
FCz]w,7,13,,,True,True
FCz^g,7,13,,,True,True
FCz^o,7,13,,,True,True
FCz^w,7,14,,,True,True
FCzaw,7,11,,,True,True
FCzbW,7,11,,,True,True
FCzbo,7,11,,,True,True
FCzbw,7,12,,,True,True
FCzcw,7,11,,,True,True
FCzeW,7,11,,,True,True
FCzew,7,12,,,True,True
FCzfO,7,11,,,True,True
FCzfW,7,12,,,True,True
FCzf_,7,11,,,True,True
FCzfo,7,12,,,True,True
FCzfw,7,13,,,True,True
FCzjw,7,13,,,True,True
FCzmw,7,13,,,True,True
FCznW,7,13,,,True,True
FCzno,7,13,,,True,True
FCznw,7,14,,,True,True
FCzro,7,12,,,True,True
FCzrw,7,13,,,True,True
FCzvg,7,13,,,True,True
FCzvo,7,13,,,True,True
FCzvw,7,14,,,True,True
FCz~w,7,15,,,True,True
FC~uw,7,14,,,True,True
FC~vW,7,14,,,True,True
FC~vo,7,14,,,True,True
FC~vw,7,15,,,True,True
FC~~w,7,16,,,True,True
FEhbo,7,10,,,True,True
FEhd_,7,9,,,True,True
FEhe_,7,9,,,True,True
FEheo,7,10,,,True,True
FEhf?,7,9,,,True,True
FEhf_,7,10,,,True,True
FEhfo,7,11,,,True,True
FEhfw,7,12,,,True,True
FEhro,7,11,,,True,True
FEhtg,7,11,,,True,True
FEhto,7,11,,,True,True
FEhtw,7,12,,,True,True
FEhuO,7,10,,,True,True
FEhuo,7,11,,,True,True
FEhuw,7,12,,,True,True
FEhv?,7,10,,,True,True
FEhvO,7,11,,,True,True
FEhvg,7,12,,,True,True
FEhvo,7,12,,,True,True
FEhvw,7,13,,,True,True
FEhzo,7,12,,,True,True
FEhzw,7,13,,,True,True
FEh}o,7,12,,,True,True
FEh}w,7,13,,,True,True
FEh~o,7,13,,,True,True
FEh~w,7,14,,,True,True
FEiro,7,11,,,True,True
FEitW,7,11,,,True,True
FEitw,7,12,,,True,True
FEivW,7,12,,,True,True
FEivg,7,12,,,True,True
FEivo,7,12,,,True,True
FEivw,7,13,,,True,True
FEj\w,7,13,,,True,True
FEj]w,7,13,,,True,True
FEj^o,7,13,,,True,True
FEj^w,7,14,,,True,True
FEjbo,7,11,,,True,True
FEjdg,7,11,,,True,True
FEjeg,7,11,,,True,True
FEjeo,7,11,,,True,True
FEjfG,7,11,,,True,True
FEjf_,7,11,,,True,True
FEjfg,7,12,,,True,True
FEjfo,7,12,,,True,True
FEjfw,7,13,,,True,True
FEjrw,7,13,,,True,True
FEjtw,7,13,,,True,True
FEjuw,7,13,,,True,True
FEjvW,7,13,,,True,True
FEjvg,7,13,,,True,True
FEjvo,7,13,,,True,True
FEjvw,7,14,,,True,True
FEj~o,7,14,,,True,True
FEj~w,7,15,,,True,True
FEl}w,7,14,,,True,True
FEl~o,7,14,,,True,True
FEl~w,7,15,,,True,True
FEnaw,7,12,,,True,True
FEnbg,7,12,,,True,True
FEnbo,7,12,,,True,True
FEnbw,7,13,,,True,True
FEncw,7,12,,,True,True
FEndg,7,12,,,True,True
FEnew,7,13,,,True,True
FEnf_,7,12,,,True,True
FEnfg,7,13,,,True,True
FEnfo,7,13,,,True,True
FEnfw,7,14,,,True,True
FEnvW,7,14,,,True,True
FEnvg,7,14,,,True,True
FEnvo,7,14,,,True,True
FEnvw,7,15,,,True,True
FEn~w,7,16,,,True,True
FEr^o,7,13,,,True,True
FEr^w,7,14,,,True,True
FErtw,7,13,,,True,True
FEruw,7,13,,,True,True
FErvW,7,13,,,True,True
FErvg,7,13,,,True,True
FErvo,7,13,,,True,True
FErvw,7,14,,,True,True
FEr~o,7,14,,,True,True
FEr~w,7,15,,,True,True
FEu|w,7,14,,,True,True
FEu~g,7,14,,,True,True
FEu~o,7,14,,,True,True
FEu~w,7,15,,,True,True
FEv\w,7,14,,,True,True
FEv^o,7,14,,,True,True
FEv^w,7,15,,,True,True
FEvvW,7,14,,,True,True
FEvvg,7,14,,,True,True
FEvvo,7,14,,,True,True
FEvvw,7,15,,,True,True
FEv~w,7,16,,,True,True
FEzPw,7,12,,,True,True
FEzSw,7,12,,,True,True
FEzTg,7,12,,,True,True
FEzTw,7,13,,,True,True
FEzUg,7,12,,,True,True
FEzUo,7,12,,,True,True
FEzUw,7,13,,,True,True
FEzVO,7,12,,,True,True
FEzV_,7,12,,,True,True
FEzVg,7,13,,,True,True
FEzVo,7,13,,,True,True
FEzVw,7,14,,,True,True
FEzeW,7,12,,,True,True
FEzfO,7,12,,,True,True
FEzfW,7,13,,,True,True
FEzf_,7,12,,,True,True
FEzfo,7,13,,,True,True
FEzfw,7,14,,,True,True
FEznW,7,14,,,True,True
FEzno,7,14,,,True,True
FEznw,7,15,,,True,True
FEzvO,7,13,,,True,True
FEzvg,7,14,,,True,True
FEzvo,7,14,,,True,True
FEzvw,7,15,,,True,True
FEz~w,7,16,,,True,True
FE~tw,7,15,,,True,True
FE~uw,7,15,,,True,True
FE~vW,7,15,,,True,True
FE~vo,7,15,,,True,True
FE~vw,7,16,,,True,True
FE~~w,7,17,,,True,True
FFzeo,7,13,,,True,True
FFzf_,7,13,,,True,True
FFzfo,7,14,,,True,True
FFzfw,7,15,,,True,True
FFzvO,7,14,,,True,True
FFzvg,7,15,,,True,True
FFzvo,7,15,,,True,True
FFzvw,7,16,,,True,True
FFz~o,7,16,,,True,True
FFz~w,7,17,,,True,True
FF~~w,7,18,,,True,True
FQhV?,7,9,,,True,True
FQhVO,7,10,,,True,True
FQhV_,7,10,,,True,True
FQhVo,7,11,,,True,True
FQhVw,7,12,,,True,True
FQinO,7,11,,,True,True
FQinW,7,12,,,True,True
FQino,7,12,,,True,True
FQinw,7,13,,,True,True
FQjR_,7,10,,,True,True
FQjRo,7,11,,,True,True
FQjUg,7,11,,,True,True
FQjVG,7,11,,,True,True
FQjVO,7,11,,,True,True
FQjV_,7,11,,,True,True
FQjVg,7,12,,,True,True
