global_pair_index,g6_G,g6_H,n_G,n_H,bb_gt,ilp_gt,bb_gd,ilp_gd,cartesian_witness_ok,direct_witness_ok,agree,gt_status,gd_status
306,Bw,DV{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
307,Bw,D]w,3,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
308,Bw,D]{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
309,Bw,D^{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
310,Bw,D~{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
322,Bw,E?zw,3,6,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
350,Bw,ECzW,3,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
370,Bw,EEro,3,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
398,Bw,EQ~w,3,6,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
423,CF,CF,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
424,CF,CU,4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
425,CF,CV,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
426,CF,C],4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
427,CF,C^,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
428,CF,C~,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
429,CF,D?{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
430,CF,DCw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
431,CF,DC{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
432,CF,DEk,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
433,CF,DEw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
434,CF,DE{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
435,CF,DFw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
436,CF,DF{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
437,CF,DQo,4,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
438,CF,DQw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
439,CF,DQ{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
440,CF,DTw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
441,CF,DT{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
442,CF,DUW,4,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
443,CF,DUw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
444,CF,DU{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
445,CF,DV{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
446,CF,D]w,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
447,CF,D]{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
448,CF,D^{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
449,CF,D~{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
499,CF,EEiW,4,6,6,6,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
529,CF,EQjw,4,6,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
562,CU,CU,4,4,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
563,CU,CV,4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
564,CU,C],4,4,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
565,CU,C^,4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
566,CU,C~,4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
567,CU,D?{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
568,CU,DCw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
569,CU,DC{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
570,CU,DEk,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
571,CU,DEw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
572,CU,DE{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
573,CU,DFw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
574,CU,DF{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
575,CU,DQo,4,5,8,8,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
576,CU,DQw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
577,CU,DQ{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
578,CU,DTw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
579,CU,DT{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
580,CU,DUW,4,5,6,6,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
581,CU,DUw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
582,CU,DU{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
583,CU,DV{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
584,CU,D]w,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
585,CU,D]{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
586,CU,D^{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
587,CU,D~{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
592,CU,E?qo,4,6,8,8,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
679,CU,ETzo,4,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
691,CU,EV~w,4,6,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
700,CV,CV,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
701,CV,C],4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
702,CV,C^,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
703,CV,C~,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
704,CV,D?{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
705,CV,DCw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
706,CV,DC{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
707,CV,DEk,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
708,CV,DEw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
709,CV,DE{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
710,CV,DFw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
711,CV,DF{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
712,CV,DQo,4,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
